Row Labels,Max of Order Date,Count of Order ID,Average of Sales
BM-11650,0,1,2.91
BM-11785,0,4,117.0875
BN-11515,0,5,164.244
BO-11350,3/1/2021,3,548.7666667
BP-11050,0,3,295.04
BP-11095,0,2,34.475
BP-11155,0,6,85.70666667
BP-11185,12/9/2021,7,107.7171429
BP-11230,0,3,9.206666667
BP-11290,12/4/2021,8,159.21125
BS-11365,0,5,1839.956
BS-11590,0,1,33.4
BS-11665,0,3,442.71
BS-11755,0,4,233.4875
BT-11395,0,1,9.58
BT-11440,0,2,74.575
BT-11485,11/3/2021,1,30.34
BT-11530,0,2,82.78
BT-11680,10/4/2021,6,159.88
BV-11245,0,4,109.675
BW-11110,10/12/2021,7,56.31428571
BW-11200,0,5,160.5
CA-11965,0,1,1999.96
CA-12055,8/8/2021,7,227.1228571
CA-12265,7/2/2021,2,53.915
CA-12310,3/1/2021,3,125.5466667
CA-12775,11/12/2021,1,6.67
CB-12025,0,4,86.3675
CB-12415,12/6/2021,7,243.0628571
CB-12535,7/11/2021,4,421.7825
CC-12100,7/7/2021,5,25.218
CC-12145,8/8/2021,2,8.52
CC-12220,8/7/2021,9,143.9266667
CC-12370,7/7/2021,8,1487.64875
CC-12430,10/11/2021,9,113.0822222
CC-12475,7/11/2021,5,160.488
CC-12610,10/10/2021,5,52.136
CC-12670,3/3/2021,3,137.21
CD-11920,0,2,76.26
CD-11980,0,1,24.78
CD-12790,0,8,141.45
CG-12040,10/9/2021,6,140.9283333
CG-12520,8/11/2021,2,496.95
CH-12070,8/2/2021,1,1127.98
CJ-11875,0,1,16.52
CJ-12010,10/3/2021,11,494.6881818
CK-12205,5/6/2021,13,89.49846154
CK-12325,8/4/2021,3,71.94666667
CK-12595,12/3/2021,10,80.243
CK-12760,1/2/2021,7,52.94857143
CL-11890,1/12/2021,1,16.74
CL-12565,8/5/2021,15,252.438
CL-12700,0,5,375.384
CM-11815,0,1,13.68
CM-11935,0,3,176.7566667
CM-12160,0,2,1050.84
CM-12235,12/8/2021,8,288.21375
CM-12445,0,7,36.79142857
CM-12655,8/8/2021,3,772.7466667
Co-12640,0,1,191.88
CP-12085,0,3,81.32
CP-12340,3/6/2021,6,157.47
CR-12580,0,4,68.98
CR-12625,0,1,121.78
CR-12730,12/6/2021,4,68.57
CS-11950,3/9/2021,8,129.60375
CS-12130,0,2,62.03
CS-12175,0,2,44.555
CS-12250,0,3,20.09333333
CS-12355,0,1,39.68
CS-12400,10/5/2021,2,386.555
CS-12490,12/8/2021,4,171.9475
CS-12505,0,5,1092.94
CT-11995,0,3,246.4266667
CV-12295,4/9/2021,3,49.08666667
CV-12805,9/5/2021,6,172.6116667
CW-11905,4/11/2021,3,16.92333333
CY-12745,3/9/2021,3,54.13666667
DB-12910,9/9/2021,6,174.955
DB-12970,0,3,477.8633333
DB-13060,6/6/2021,2,793.05
DB-13210,9/6/2021,10,137.883
DB-13270,12/8/2021,5,644.6
DB-13360,0,2,242.915
DB-13615,8/12/2021,3,258.05
DB-13660,0,1,156.51
DC-12850,0,2,160.065
DC-13285,10/11/2021,1,41.86
DD-13570,0,1,4.31
DE-13255,11/1/2021,3,31.48333333
DF-13135,0,3,689.2666667
DG-13300,0,1,19.44
DH-13075,0,1,8.71
DJ-13420,2/4/2021,1,1454.9
DJ-13510,0,1,1603.14
DJ-13630,0,3,49.30333333
DK-12835,9/12/2021,5,113.098
DK-13090,0,4,143.435
DK-13225,12/3/2021,9,302.6177778
DK-13375,0,11,163.0727273
DL-12865,2/5/2021,9,157.4488889
DL-13315,10/12/2021,5,114.72
DL-13330,0,1,12.42
DL-13495,7/10/2021,3,386.6333333
Dl-13600,7/4/2021,1,658.75
DM-12955,0,3,37.07
DM-13015,5/9/2021,6,89.01333333
DM-13345,7/11/2021,4,235.5625
DM-13525,5/9/2021,3,17.36666667
DN-13690,0,4,228.785
DO-13435,0,1,17.34
DP-13000,0,3,15.13
DP-13105,6/12/2021,7,273.2971429
Dp-13240,0,3,103.99
DP-13390,0,4,1175.435
DR-12880,0,4,175.07
DR-12940,4/10/2021,4,1447.8975
DS-13180,0,10,104.9
DV-13045,12/6/2021,3,12.53333333
DV-13465,10/9/2021,1,276.78
DW-13195,0,3,149.4733333
DW-13480,12/11/2021,4,231.9225
DW-13540,1/4/2021,2,52.115
DW-13585,7/8/2021,2,96.465
EA-14035,12/6/2021,12,126.6708333
EB-13705,7/3/2021,2,657.28
EB-13750,11/11/2021,11,68.04363636
EB-13840,4/12/2021,1,212.88
EB-13870,9/12/2021,2,319.985
EB-13930,0,4,54.74
EB-13975,10/10/2021,4,402.16
EB-14110,11/9/2021,5,400.286
EB-14170,5/11/2021,1,11.84
EC-14050,12/12/2021,2,149.535
ED-13885,0,3,172.3066667
EG-13900,3/12/2021,5,233.066
EH-13765,2/6/2021,21,377.9766667
EH-13945,0,11,43.42272727
EH-13990,0,2,239.595
EH-14005,0,1,29.47
EH-14125,8/4/2021,7,162.1985714
EH-14185,4/4/2021,2,330.5
EJ-14155,1/12/2021,4,379.2625
EL-13735,0,1,86.62
EM-13810,4/3/2021,1,159.98
EM-13825,5/9/2021,2,15.21
EM-14065,0,2,10.75
EM-14095,7/11/2021,4,22.6
EM-14140,1/7/2021,10,280.272
EN-13780,4/6/2021,5,329.278
EP-13915,11/10/2021,12,209.8458333
ER-13855,6/9/2021,4,296.2025
ES-14020,11/6/2021,1,239.97
ES-14080,7/4/2021,6,291.6033333
FA-14230,0,3,191.3533333
FC-14245,0,2,1188.78
FC-14335,0,2,678.285
FH-14275,12/11/2021,6,65.345
FH-14365,1/12/2021,1,23.04
FM-14215,12/5/2021,7,58.01285714
FM-14290,7/6/2021,5,312.294
FM-14380,11/12/2021,7,156.3828571
FO-14305,0,3,24.68333333
FP-14320,1/4/2021,6,247.3116667
FW-14395,5/9/2021,1,43.6
GA-14515,0,2,337.705
GB-14530,9/12/2021,8,105.71625
GB-14575,8/3/2021,3,65.34
GD-14590,11/9/2021,2,368.7
GG-14650,6/12/2021,4,54.9525
GH-14410,9/8/2021,4,26.8625
GH-14485,8/12/2021,2,644.23
GK-14620,0,6,836.8383333
GM-14440,3/12/2021,1,772.68
GM-14455,5/4/2021,3,260.9833333
GM-14500,10/5/2021,3,21.19
GM-14680,9/6/2021,3,343.9966667
GM-14695,0,5,95.138
GT-14710,6/12/2021,11,141.9372727
GT-14755,3/7/2021,2,8.46
GW-14605,0,3,145.1833333
GZ-14470,1/12/2021,4,524.3175
HA-14905,0,1,393.25
HA-14920,9/8/2021,8,125.93625
HE-14800,5/12/2021,4,71.145
HF-14995,9/4/2021,10,181.273
HG-14965,0,5,174.612
HG-15025,1/10/2021,4,49.295
HJ-14875,0,3,72.82
HK-14890,0,3,35.74
HL-15040,3/10/2021,2,228.28
HM-14860,12/5/2021,3,532.88
HM-14980,0,1,4.62
HW-14935,0,5,218.316
HZ-14950,0,1,21.88
IG-15085,0,1,111.96
IL-15100,4/9/2021,3,60.47666667
IM-15055,4/9/2021,3,944.1833333
IM-15070,6/11/2021,7,158.4257143
JA-15970,1/9/2021,6,79.58333333
JB-15400,4/2/2021,4,104.355
JB-16000,10/6/2021,2,24.235
JB-16045,8/12/2021,7,260.6814286
JC-15340,5/9/2021,2,9.7
JC-15775,0,1,705.54
JD-15790,0,1,227.96
JD-15895,9/7/2021,21,294.3385714
JD-16150,0,3,389.2166667
JE-15475,0,9,109.52
JE-15610,0,1,222.38
JE-15715,8/7/2021,13,583.6915385
JE-15745,8/10/2021,4,142.2175
JE-16165,5/12/2021,4,664.4525
JF-15190,2/12/2021,3,168.4566667
JF-15295,12/4/2021,4,65.5225
JF-15355,1/7/2021,3,28.5
JF-15490,0,2,16.095
JF-15565,11/9/2021,7,314.1185714
JG-15160,5/12/2021,5,152.406
JG-15310,3/3/2021,7,138.5685714
JG-15805,0,2,359.475
JH-15910,6/10/2021,3,141.43
JH-15985,5/11/2021,4,41.3425
JH-16180,5/4/2021,3,361.0333333
JJ-15445,3/9/2021,2,31.975
JK-15205,1/10/2021,2,18.185
JK-15325,0,1,23.36
JK-15370,0,2,323.265
JK-15730,0,4,415.6975
JK-16120,3/9/2021,4,310.325
JL-15130,0,1,3.98
JL-15175,0,1,91.48
JL-15235,5/6/2021,3,128.8266667
JL-15505,8/4/2021,4,112.1
JL-15835,0,1,7.71
JL-15850,0,3,36.14
JM-15250,0,4,124.6525
JM-15265,11/12/2021,3,359.0566667
JM-15535,0,2,528.53
JM-15580,12/5/2021,6,50.15333333
JM-15655,12/12/2021,4,113.7625
JM-15865,1/12/2021,3,115.11
JM-16195,0,3,53.43
JO-15145,8/1/2021,3,585.57
JO-15280,0,6,26.08666667
JP-15460,0,5,228.158
JP-15520,4/9/2021,2,135.95
JP-16135,11/3/2021,7,228.7228571
JR-15670,0,1,552.56
JR-16210,10/4/2021,3,43.57666667
JS-15595,0,1,783.96
JS-15685,0,4,109.335
JS-15880,12/2/2021,6,329.655
JS-15940,5/6/2021,5,36.864
JS-16030,0,9,161.0044444
JW-15220,0,3,685.3366667
JW-15955,0,1,2.61
JW-16075,9/5/2021,3,35.08666667
KA-16525,0,1,186.05
KB-16240,6/2/2021,1,132.22
KB-16315,6/9/2021,2,49.575
KB-16585,10/1/2021,6,60.005
KB-16600,5/6/2021,2,31.11
KC-16255,2/6/2021,3,467.2866667
KC-16540,11/9/2021,3,1119.093333
KC-16675,0,2,226.23
KD-16270,4/6/2021,7,902.4514286
KD-16495,2/12/2021,8,63.10625
KD-16615,0,2,129.29
KE-16420,0,2,32.535
KF-16285,10/3/2021,2,2086.905
KH-16330,0,3,239.31
KH-16360,2/7/2021,3,351.19
KH-16630,0,2,39.795
KH-16690,12/7/2021,1,95.76
KL-16555,6/11/2021,8,133.68125
KL-16645,4/6/2021,13,307.4384615
KM-16225,10/11/2021,2,59.63
KM-16375,1/11/2021,3,94.67666667
KM-16660,1/8/2021,2,19.105
KM-16720,0,7,90.43428571
KN-16705,0,1,86.2
KT-16465,4/12/2021,6,271.06
KT-16480,10/9/2021,2,510.445
KW-16435,0,1,67
LA-16780,9/1/2021,15,430.082
LB-16735,0,1,21.48
LB-16795,11/11/2021,12,226.2183333
LC-16870,12/8/2021,6,71.11
LC-16885,0,10,103.127
LC-16930,11/9/2021,9,438.8255556
LC-16960,0,4,133.045
LC-17050,3/2/2021,1,866.4
LC-17140,8/4/2021,7,153.58
LD-16855,0,1,5.3
LD-17005,11/11/2021,3,117.5366667
LE-16810,0,1,641.96
LF-17185,0,1,7.15
LH-16900,8/12/2021,5,80.21
LH-17020,4/11/2021,1,38.29
LH-17155,10/12/2021,13,115.6338462
LM-17065,6/8/2021,2,26.935
LP-17080,11/11/2021,3,174.87
LP-17095,8/9/2021,6,152.435
LR-16915,11/12/2021,8,250.49125
LR-17035,0,2,274
LS-16945,0,6,391.2966667
LS-16975,6/11/2021,3,109.7466667
LS-17200,0,3,33.54
LS-17245,0,2,93.435
LT-17110,0,4,161.855
LW-16825,0,5,99.862
LW-16990,5/5/2021,2,845.805
LW-17125,5/11/2021,3,373.5766667
LW-17215,7/11/2021,10,132.682
MA-17560,0,6,15.77166667
MA-17995,7/11/2021,4,449.8675
MB-17305,0,2,224.225
MB-18085,11/3/2021,4,139.915
MC-17275,0,2,90.425
MC-17425,0,7,511.68
MC-17575,0,1,33.9
MC-17590,12/9/2021,5,176.09
MC-17605,0,1,39
MC-17635,0,4,127.9875
MC-17845,7/11/2021,3,163.9766667
MC-18100,7/10/2021,1,93.36
MC-18130,12/3/2021,7,206.29
MD-17350,5/9/2021,3,34.35333333
ME-17320,6/6/2021,8,676.0825
ME-17725,0,2,70.605
MF-17665,9/1/2021,7,55.00857143
MG-17650,12/12/2021,5,147.318
MG-17695,0,1,835.17
MG-17875,8/9/2021,1,207.48
MG-17890,4/3/2021,2,68.83
MH-17290,0,3,220.64
MH-17440,8/2/2021,3,93.09
MH-17455,10/12/2021,2,809.625
MH-17620,3/9/2021,2,18.89
MH-17785,10/3/2021,1,104.7
MH-18115,0,3,472.1033333
MJ-17740,7/11/2021,9,572.4744444
MK-17905,0,12,151.0541667
MK-18160,2/12/2021,3,33.41666667
ML-17395,7/11/2021,2,297.985
ML-17410,0,1,36.24
ML-17755,4/8/2021,4,39.7025
MM-17260,0,2,346.25
MM-17920,5/9/2021,6,387.4916667
MM-18280,0,2,147.96
MN-17935,0,1,15.23
MO-17500,6/9/2021,3,271.32
MO-17800,0,1,22
MP-17470,11/1/2021,1,54.99
MP-17965,9/10/2021,5,402.838
MP-18175,5/12/2021,3,218.3033333
MS-17365,4/2/2021,6,700.905
MS-17530,0,3,38.98666667
MS-17710,12/11/2021,7,74.25142857
MS-17770,10/11/2021,7,268.5428571
MS-17830,4/10/2021,1,239.37
MT-17815,0,5,507.504
MT-18070,11/8/2021,3,50.60666667
MV-17485,5/9/2021,3,75.61333333
MV-18190,1/12/2021,5,271.78
MW-18220,0,1,40
MY-17380,0,5,174.862
MY-18295,2/12/2021,9,201.4533333
MZ-17335,9/10/2021,2,85.49
MZ-17515,11/6/2021,3,7.383333333
NB-18655,0,4,227.7275
NC-18340,0,4,30.915
NC-18415,0,6,50.87333333
NC-18535,0,1,58.42
NC-18625,0,2,376.205
ND-18370,5/5/2021,3,44.21
NF-18385,0,4,210.6
NF-18475,0,1,11.42
NH-18610,0,1,15.94
NK-18490,0,4,83
NL-18310,0,1,38.88
NM-18520,7/1/2021,9,226.8755556
NP-18670,0,3,338.5133333
NP-18685,0,3,32.98666667
NP-18700,12/8/2021,3,759.9633333
NR-18550,2/5/2021,3,267.9
NS-18505,0,6,87.87
NS-18640,12/12/2021,11,132.5818182
NW-18400,3/11/2021,2,92.075
NZ-18565,11/9/2021,8,60.9825
ON-18715,11/3/2021,4,213.36
OT-18730,10/6/2021,6,490.9116667
PA-19060,0,2,35.44
PB-18805,0,4,54.78
PB-19105,0,1,11.99
PB-19150,0,1,383.8
PB-19210,11/2/2021,1,69.93
PC-18745,10/11/2021,3,85.79666667
PF-19165,9/11/2021,3,594.2666667
PF-19225,3/11/2021,6,272.8166667
PG-18820,8/4/2021,13,160.6338462
PG-18895,0,2,19.56
PJ-18835,5/5/2021,2,11.8
PJ-19015,8/9/2021,2,117.995
PK-18910,3/9/2021,2,711.125
PK-19075,5/9/2021,17,117.76
PL-18925,0,1,83.98
PM-18940,9/12/2021,1,1056.86
PM-19135,8/10/2021,2,45.77
PN-18775,10/9/2021,4,164.0075
PO-18850,0,6,212.1433333
PO-18865,0,2,103.32
PO-19180,12/9/2021,5,314.22
PP-18955,10/11/2021,20,148.7555
PS-18760,9/3/2021,5,90.964
PS-18970,9/5/2021,1,8
PS-19045,7/11/2021,1,12.9
PT-19090,5/9/2021,1,93.46
PV-18985,0,5,108.804
PW-19030,2/12/2021,5,304.692
PW-19240,0,2,5.04
QJ-19255,10/4/2021,5,94.256
RA-19285,4/8/2021,1,3.98
RA-19885,0,1,77.88
RA-19915,0,2,243.61
RB-19360,1/4/2021,12,76.1725
RB-19465,9/3/2021,12,232.3033333
RB-19570,3/9/2021,4,74.785
RB-19645,0,1,58.58
RB-19795,6/6/2021,9,204.5133333
RC-19825,6/6/2021,9,104.65
RC-19960,11/9/2021,4,80.77
RD-19480,4/3/2021,2,72.855
RD-19585,0,1,49.44
RD-19660,0,2,356.84
RD-19720,10/5/2021,8,87.31875
RD-19810,7/6/2021,5,72.914
RD-19900,0,6,192.38
RE-19450,0,1,29.61
RF-19345,5/12/2021,6,449.2866667
RF-19735,0,3,175.0366667
RF-19840,12/12/2021,6,133.26
RH-19510,10/3/2021,7,853.4242857
RH-19555,0,2,366.08
RH-19600,0,1,29
RL-19615,2/9/2021,5,486.002
RM-19375,8/4/2021,2,285.275
RO-19780,10/11/2021,2,109.81
RP-19270,0,1,33.44
RP-19390,0,3,149.5966667
RP-19855,4/9/2021,4,146.695
RR-19315,0,1,7.38
RR-19525,0,2,140.18
RS-19420,9/5/2021,1,32.04
RS-19870,7/6/2021,1,9.65
RW-19630,9/12/2021,10,222.927
RW-19690,0,1,3.28
SA-20830,0,3,21.98
SB-20290,0,1,103.97
SC-20050,0,6,156.1816667
SC-20095,0,6,166.135
SC-20230,8/7/2021,10,435.59
SC-20305,0,2,41.86
SC-20380,0,1,15.62
SC-20680,0,4,64.7875
SC-20695,12/9/2021,8,185.11375
SC-20725,12/6/2021,8,108.6625
SC-20770,12/6/2021,15,222.664
SC-20800,0,1,66.3
SC-20845,11/11/2021,1,14.11
SD-20485,0,2,26.685
SE-20110,11/6/2021,8,1234.9025
SF-20065,0,1,34.94
SF-20200,12/9/2021,5,10.94
SF-20965,0,1,1403.92
SG-20470,0,1,26.35
SG-20890,1/8/2021,1,19.65
SH-19975,10/11/2021,12,130.3
SH-20395,0,1,2.21
SJ-20125,10/12/2021,8,106.045
SJ-20215,0,1,1.96
SJ-20500,1/12/2021,3,322.8
SK-19990,0,1,7.16
SL-20155,10/12/2021,1,6.48
SM-20005,4/11/2021,3,34.44
SM-20905,3/5/2021,6,173.8416667
SM-20950,1/2/2021,3,63.85666667
SN-20560,0,3,182.6566667
SN-20710,0,10,130.89
SP-20545,9/10/2021,7,146.3771429
SP-20620,8/12/2021,3,491.86
SP-20650,12/11/2021,8,168.3325
SP-20860,0,3,968.19
SP-20920,12/11/2021,7,513.9757143
SR-20740,3/4/2021,2,194.835
SS-20140,0,1,21.12
SS-20515,0,1,47.97
SS-20590,9/5/2021,5,64.588
SS-20875,0,4,28.71
SU-20665,5/9/2021,6,30.49166667
SV-20365,11/6/2021,5,208.24
SV-20785,0,5,223.83
SV-20815,0,1,31.01
SV-20935,0,4,71.5075
SW-20245,12/3/2021,2,89.93
SW-20275,10/11/2021,2,442.785
SW-20350,9/4/2021,3,184.0766667
SW-20455,0,1,1001.58
SW-20755,0,6,110.66
SZ-20035,2/9/2021,2,87.435
TA-21385,2/9/2021,1,84.27
TB-21055,0,13,92.68230769
TB-21175,12/4/2021,6,39.63333333
TB-21250,7/10/2021,4,130.2125
TB-21280,0,6,232.8233333
TB-21355,0,7,27.74
TB-21400,0,1,81.2
TB-21520,4/2/2021,1,14.37
TB-21595,0,3,404.27
TB-21625,11/9/2021,2,121.345
TC-20980,2/10/2021,6,3057.341667
TC-21295,9/6/2021,1,695.7
TC-21475,5/12/2021,3,50.56333333
TC-21535,0,4,138.745
TD-20995,0,2,583.53
TG-21310,2/9/2021,3,684.97
TH-21100,9/5/2021,1,27.86
TH-21115,8/7/2021,4,510.0375
TH-21235,0,4,63.57
TN-21040,0,8,290.99
TP-21130,5/12/2021,6,262.565
TP-21415,0,3,59.84333333
TP-21565,4/11/2021,7,214.7285714
TR-21325,8/9/2021,4,91.9875
TS-21160,3/3/2021,7,146.5157143
TS-21205,1/8/2021,2,542.845
TS-21430,0,2,19.31
TS-21505,0,3,214.0066667
TS-21610,9/9/2021,2,155.01
TS-21655,0,4,217.51
TT-21070,11/5/2021,1,5.98
TT-21220,4/11/2021,2,103.29
TT-21265,2/10/2021,2,58.2
TT-21460,0,1,23.95
TW-21025,0,2,180.55
TZ-21580,0,3,164.2833333
VB-21745,0,2,462.045
VD-21670,0,1,185.88
VG-21790,6/8/2021,1,211.17
VG-21805,12/5/2021,4,21.7225
VM-21685,8/9/2021,3,464.97
VM-21835,12/5/2021,6,58.265
VP-21760,0,3,66.22333333
VS-21820,8/1/2021,3,62.41
VW-21775,0,3,373.72
WB-21850,11/12/2021,16,130.90625
XP-21865,3/11/2021,9,90.70888889
YC-21895,7/4/2021,3,523.8266667
ZC-21910,8/4/2021,9,357.3033333
ZD-21925,8/7/2021,5,237.548
(blank),,,
